" ;"" "";"" "";""SLOVENIJA"";""Zahodna Slovenija"";""..Obalno-kraška"";""..Goriška"";""..Gorenjska"";""..Osrednjeslovenska"";""Vzhodna Slovenija"";""..Notranjsko-kraška"";""..Jugovzhodna Slovenija"";""..Spodnjeposavska"";""..Zasavska"";""..Savinjska"";""..Koroška"";""..Podravska"";""..Pomurska""",,,
2000,,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";8.4;9.8;6.3;4.8;5.8;12.2;6.6;4.9;8.4;5.6;7.4;4.8;4.1;8.7;5.0",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";16.6;17.6;15.0;14.2;13.8;19.6;15.3;15.4;13.9;14.2;13.3;13.7;15.0;17.3;17.0"
" ;"" "";""RSTU Druge dejavnosti"";2.9;3.9;4.7;9.6;2.8;3.1;1.6;1.2;1.1;1.2;1.4;1.8;1.6;1.9;1.5",,,
2004,,,
" ;""Mio EUR (fiksni teèaj 2007)""",,,
" ;"" "";""Skupaj dejavnosti"";23776;13149;1334;1346;2116;8352;10627;450;1568;693;382;2709;694;3136;995",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";630;187;20;44;43;79;442;31;76;38;8;88;26;98;77",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";6678;2842;219;425;754;1444;3836;156;675;293;169;1078;307;882;276",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";5700;2526;183;377;706;1260;3173;148;659;137;111;854;269;742;254",,,
" ;"" "";""F Gradbeništvo"";1481;757;101;108;102;445;725;34;96;46;20;192;36;219;80",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";4580;2886;449;199;450;1788;1694;73;195;99;45;471;98;536;177",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";915;742;37;20;35;649;174;3;15;3;7;40;6;82;16",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";1088;737;69;48;64;557;350;12;34;12;12;76;17;162;25",,,
" ;"" "";""L Poslovanje z nepremièninami"";1779;854;97;106;173;479;925;45;118;59;36;218;61;280;108",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";2010;1306;81;65;153;1007;704;21;128;33;29;126;28;284;53",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";3930;2322;193;189;287;1654;1608;68;213;99;50;374;105;530;168"
" ;"" "";""RSTU Druge dejavnosti"";684;515;68;141;56;250;169;6;17;9;5;46;10;62;14",,,
" ;""Struktura po regijah (Slovenija = 100%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;55.3;5.6;5.7;8.9;35.1;44.7;1.9;6.6;2.9;1.6;11.4;2.9;13.2;4.2",,,
